Model,Test Accuracy,Mean AUC,Top-2 Accuracy,Top-3 Accuracy
Sequential CNN,0.6640194697066735,0.9329890002328467,0.7156398104265402,0.78762648904829
MobileNetV2,0.729089278852312,0.933829598802941,0.8339951325733316,0.8838222108364289
VGG-16,0.754194953247086,0.9647431254008145,0.8427052645062124,0.8948379659280133
