Class,Precision,Recall,F1-Score
hit,0.9903225806451613,0.9903225806451613,0.9903225806451613
kick,0.9944071588366891,0.9955207166853304,0.9949636261891438
punch,0.9925149700598802,0.9910313901345291,0.9917726252804787
push,1.0,1.0,1.0
ride_horse,0.9992144540455616,0.9992144540455616,0.9992144540455616
shoot_gun,1.0,1.0,1.0
stand,0.9994082840236687,1.0,0.9997040544539805
wave,1.0,1.0,1.0
